sector,INST_NAME,n_total,oa_share,n_total_sec
Fraunhofer Society,Fraunhofer-Institut für Experimentelles Software Engineering,66,0.21212121212121213,14444
Fraunhofer Society,Fraunhofer-Institut für Fabrikbetrieb und -automatisierung,48,0.1875,14444
Fraunhofer Society,Fraunhofer-Institut für Fertigungstechnik und Angewandte Materialforschung,457,0.15317286652078774,14444
Fraunhofer Society,Fraunhofer-Institut für Graphische Datenverarbeitung,130,0.25384615384615383,14444
Fraunhofer Society,Fraunhofer-Institut für Grenzflächen- und Bioverfahrenstechnik,347,0.3688760806916426,14444
Fraunhofer Society,Fraunhofer-Institut für Hochfrequenzphysik und Radartechnik FHR,100,0.17,14444
Fraunhofer Society,Fraunhofer-Institut für Holzforschung,164,0.17073170731707318,14444
Fraunhofer Society,Fraunhofer-Institut für Integrierte Schaltungen (IIS),314,0.29936305732484075,14444
Fraunhofer Society,Fraunhofer-Institut für Integrierte Systeme und Bauelementetechnologie,258,0.16279069767441862,14444
Fraunhofer Society,Fraunhofer-Institut für Intelligente Analyse- und Informationssysteme,115,0.5391304347826087,14444
Fraunhofer Society,Fraunhofer-Institut für Keramische Technologien und Systeme,538,0.13568773234200743,14444
Fraunhofer Society,"Fraunhofer-Institut für Kommunikation, Informationsverarbeitung und Ergonomie",96,0.23958333333333334,14444
Fraunhofer Society,"Fraunhofer-Institut für Kurzzeitdynamik, Ernst-Mach-Institut (EMI)",160,0.18125,14444
Fraunhofer Society,Fraunhofer-Institut für Lasertechnik (ILT),273,0.2857142857142857,14444
Fraunhofer Society,Fraunhofer-Institut für Materialfluss und Logistik,9,0.4444444444444444,14444
Fraunhofer Society,Fraunhofer-Institut für Mikroelektronische Schaltungen und Systeme (IMS),42,0.14285714285714285,14444
Fraunhofer Society,Fraunhofer-Institut für Molekularbiologie und Angewandte Ökologie,792,0.47474747474747475,14444
Fraunhofer Society,Fraunhofer-Institut für Nachrichtentechnik Heinrich-Hertz-Institut,509,0.3300589390962672,14444
